precinct;BG1;BG2;BG3;BG4;BG5;BG6
2306;60855104003;60855104001;60855104002;;;
2305;60855098012;60855104001;60855098011;;;
2313;60855104003;;;;;
7019;60855063043;;;;;
7020;60855063042;60855063043;60855063041;;;
7021;60855063044;;;;;
7039;60855062021;;;;;
7040;60855062021;;;;;
7062;60855062022;;;;;
8863;60855119111;;;;;
8864;60855119111;;;;;
8867;60855119111;;;;;
5854;60855119112;;;;;
8862;60855119112;;;;;
7060;60855062023;;;;;
7061;60855062023;;;;;
7063;60855062024;;;;;
7064;60855062024;;;;;
5903;60855119112;;;;;
5908;60855119112;;;;;
6023;60855119112;;;;;
8914;60855119113;;;;;
5927;60855119113;;;;;
5902;60855119113;;;;;
5905;60855119113;;;;;
5910;60855119113;;;;;
8898;60855119113;;;;;
7045;60855063051;;;;;
7041;60855063053;;;;;
7042;60855063054;;;;;
7043;60855063055;;;;;
7044;60855063054;60855063052;60855063051;;;
3426;60855094032;;;;;
8646;60855030031;;;;;
2001;60855117071;;;;;
2124;60855117071;;;;;
2126;60855117071;;;;;
2127;60855117071;;;;;
2128;60855117071;;;;;
2131;60855117071;;;;;
2352;60855117071;;;;;
2539;60855117071;;;;;
2540;60855117071;;;;;
2541;60855117071;;;;;
2808;60855117071;;;;;
2810;60855117071;;;;;
2811;60855117071;;;;;
2813;60855117071;;;;;
2814;60855117071;;;;;
2816;60855117071;;;;;
2826;60855117071;;;;;
2872;60855117071;;;;;
2873;60855117071;;;;;
2874;60855117071;;;;;
2875;60855117071;;;;;
5747;60855117071;;;;;
5750;60855117071;;;;;
6665;60855117071;;;;;
6666;60855117071;;;;;
6667;60855117071;;;;;
6668;60855117071;;;;;
6672;60855117071;;;;;
6673;60855117071;;;;;
6675;60855117071;;;;;
6680;60855117071;;;;;
6669;60855117072;;;;;
7004;60855062031;;;;;
7005;60855062031;;;;;
8663;60855030032;;;;;
8664;60855030032;;;;;
7002;60855062033;;;;;
8662;60855030033;;;;;
2047;60855114001;60855114002;60855114003;;;
2046;60855114001;60855114002;60855114003;60855114001;60855114002;60855114003
2048;60855114001;60855114002;60855114003;60855114004;;
2049;60855114001;60855114002;60855114003;60855114004;;
8900;60855119121;;;;;
8897;60855119122;;;;;
8899;60855119121;60855119123;60855119113;;;
7003;60855062033;;;;;
8647;60855030034;60855030031;60855030032;;;
8645;60855030035;;;;;
8912;60855119123;;;;;
8604;60855029011;;;;;
8608;60855029012;;;;;
8913;60855119123;;;;;
2043;60855114004;;;;;
8627;60855029014;;;;;
8628;60855029014;;;;;
8603;60855029014;;;;;
8607;60855029015;;;;;
2341;60855103001;;;;;
2321;60855103002;;;;;
7012;60855062041;;;;;
7013;60855062042;;;;;
2767;60855071001;;;;;
3406;60855094043;;;;;
2323;60855103002;;;;;
2289;60855103002;60855117011;60855117012;;;
2772;60855071002;;;;;
2769;60855071003;;;;;
2768;60855071002;60855071001;60855072032;;;
3459;60855094044;;;;;
2349;60855103003;;;;;
8879;60855119132;;;;;
8880;60855119132;;;;;
7015;60855062044;;;;;
7018;60855062044;;;;;
7017;60855062044;;;;;
3479;60855094045;;;;;
3481;60855094045;;;;;
8857;60855119132;;;;;
8858;60855119132;;;;;
7014;60855062044;;;;;
7016;60855062045;;;;;
2018;60855093021;;;;;
3402;60855093021;;;;;
3403;60855093021;;;;;
2013;60855093022;;;;;
8104;60855029021;;;;;
8610;60855029021;;;;;
8611;60855029022;;;;;
8878;60855119133;;;;;
8617;60855029022;;;;;
8629;60855029023;;;;;
8630;60855029023;;;;;
8618;60855029024;;;;;
8619;60855029024;;;;;
2724;60855072031;;;;;
